AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,EXTRANJERO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PIURA,PUNO,SAN MARTIN,SIN REGISTRO,TACNA,TUMBES,UCAYALI
2.0,18.0,7.0,35.0,6.0,8.0,11.0,18.0,0.0,8.0,9.0,13.0,26.0,31.0,8.0,182.0,11.0,4.0,8.0,4.0,35.0,16.0,11.0,0.0,6.0,1.0,4.0
3.0,17.0,10.0,33.0,8.0,11.0,16.0,9.0,1.0,9.0,9.0,16.0,17.0,30.0,11.0,203.0,12.0,3.0,3.0,5.0,35.0,20.0,13.0,1.0,1.0,4.0,0.0
4.0,33.0,7.0,22.0,8.0,8.0,20.0,25.0,0.0,10.0,15.0,16.0,22.0,30.0,8.0,172.0,9.0,1.0,5.0,0.0,25.0,24.0,11.0,0.0,4.0,9.0,7.0
7.0,25.0,11.0,24.0,5.0,16.0,21.0,23.0,1.0,4.0,14.0,10.0,23.0,29.0,13.0,201.0,5.0,3.0,7.0,5.0,36.0,19.0,10.0,1.0,4.0,2.0,5.0
1.0,22.0,12.0,35.0,7.0,15.0,13.0,18.0,0.0,5.0,10.0,21.0,23.0,29.0,11.0,184.0,11.0,2.0,2.0,10.0,27.0,22.0,4.0,1.0,3.0,4.0,5.0
4.0,19.0,7.0,16.0,9.0,18.0,25.0,12.0,1.0,5.0,22.0,19.0,20.0,28.0,9.0,164.0,12.0,3.0,6.0,5.0,28.0,27.0,8.0,0.0,2.0,2.0,8.0
0.0,24.0,8.0,23.0,3.0,10.0,22.0,19.0,0.0,6.0,20.0,22.0,32.0,27.0,6.0,205.0,10.0,2.0,6.0,8.0,33.0,13.0,5.0,1.0,3.0,3.0,4.0
2.0,23.0,13.0,35.0,4.0,9.0,17.0,28.0,0.0,6.0,18.0,26.0,24.0,30.0,12.0,207.0,7.0,4.0,6.0,5.0,29.0,16.0,11.0,0.0,4.0,2.0,5.0
2.0,20.0,12.0,35.0,8.0,6.0,24.0,20.0,1.0,5.0,17.0,16.0,15.0,32.0,7.0,232.0,3.0,1.0,8.0,5.0,30.0,15.0,8.0,0.0,4.0,1.0,10.0
4.0,32.0,5.0,24.0,5.0,9.0,23.0,24.0,0.0,5.0,11.0,18.0,35.0,33.0,13.0,207.0,9.0,2.0,3.0,4.0,28.0,16.0,6.0,0.0,7.0,8.0,3.0
