AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,EXTRANJERO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PIURA,PUNO,SAN MARTIN,SIN REGISTRO,TACNA,TUMBES,UCAYALI
2.0,17.0,3.0,24.0,4.0,10.0,7.0,24.0,1.0,5.0,8.0,12.0,15.0,23.0,1.0,102.0,3.0,2.0,3.0,2.0,29.0,16.0,8.0,2.0,2.0,5.0,4.0
2.0,16.0,8.0,15.0,2.0,9.0,11.0,22.0,0.0,11.0,6.0,9.0,18.0,20.0,1.0,108.0,3.0,2.0,1.0,0.0,23.0,20.0,4.0,0.0,4.0,3.0,8.0
2.0,14.0,3.0,13.0,7.0,16.0,13.0,14.0,4.0,8.0,4.0,17.0,15.0,26.0,2.0,110.0,9.0,1.0,4.0,0.0,15.0,17.0,5.0,1.0,6.0,7.0,6.0
4.0,14.0,5.0,11.0,2.0,12.0,10.0,17.0,4.0,4.0,7.0,14.0,22.0,22.0,2.0,95.0,6.0,1.0,3.0,1.0,21.0,14.0,6.0,0.0,3.0,3.0,9.0
3.0,13.0,4.0,16.0,4.0,13.0,13.0,19.0,1.0,6.0,10.0,15.0,15.0,34.0,0.0,100.0,7.0,3.0,1.0,1.0,17.0,23.0,7.0,0.0,5.0,2.0,11.0
3.0,22.0,9.0,13.0,9.0,14.0,19.0,13.0,0.0,9.0,7.0,8.0,16.0,29.0,2.0,103.0,3.0,4.0,4.0,1.0,24.0,21.0,8.0,0.0,4.0,2.0,6.0
5.0,13.0,0.0,22.0,8.0,11.0,11.0,25.0,0.0,6.0,1.0,21.0,18.0,24.0,4.0,99.0,4.0,5.0,2.0,1.0,21.0,16.0,9.0,0.0,1.0,6.0,5.0
2.0,27.0,1.0,16.0,7.0,9.0,27.0,17.0,2.0,5.0,5.0,7.0,17.0,30.0,4.0,105.0,5.0,0.0,2.0,0.0,19.0,15.0,8.0,0.0,5.0,3.0,2.0
5.0,20.0,3.0,15.0,12.0,8.0,20.0,19.0,0.0,6.0,9.0,21.0,20.0,24.0,1.0,122.0,3.0,2.0,4.0,0.0,19.0,14.0,8.0,1.0,8.0,3.0,8.0
4.0,16.0,4.0,18.0,5.0,10.0,18.0,13.0,4.0,5.0,5.0,10.0,13.0,19.0,5.0,105.0,10.0,1.0,1.0,2.0,21.0,17.0,5.0,0.0,5.0,4.0,3.0
4.0,18.0,4.0,18.0,3.0,8.0,9.0,22.0,1.0,5.0,4.0,13.0,16.0,28.0,2.0,88.0,4.0,3.0,3.0,1.0,12.0,17.0,5.0,1.0,3.0,6.0,9.0
5.0,12.0,6.0,11.0,7.0,7.0,15.0,19.0,1.0,10.0,10.0,15.0,26.0,28.0,2.0,101.0,3.0,4.0,2.0,1.0,16.0,13.0,3.0,0.0,5.0,4.0,5.0
3.0,17.0,3.0,23.0,8.0,5.0,12.0,17.0,5.0,4.0,8.0,12.0,13.0,27.0,4.0,98.0,1.0,3.0,2.0,0.0,13.0,18.0,7.0,0.0,4.0,3.0,6.0
1.0,13.0,4.0,19.0,4.0,9.0,11.0,22.0,1.0,7.0,12.0,22.0,14.0,23.0,2.0,83.0,8.0,1.0,1.0,2.0,24.0,13.0,5.0,1.0,5.0,1.0,7.0
5.0,20.0,2.0,21.0,4.0,12.0,9.0,16.0,0.0,8.0,9.0,14.0,14.0,15.0,1.0,106.0,5.0,3.0,5.0,1.0,30.0,20.0,10.0,1.0,9.0,3.0,3.0
3.0,11.0,3.0,18.0,8.0,11.0,10.0,22.0,1.0,3.0,5.0,12.0,8.0,18.0,2.0,99.0,3.0,3.0,8.0,1.0,22.0,14.0,5.0,1.0,6.0,4.0,7.0
4.0,12.0,3.0,15.0,4.0,12.0,18.0,14.0,1.0,7.0,10.0,13.0,15.0,20.0,1.0,92.0,5.0,0.0,3.0,0.0,31.0,12.0,9.0,0.0,4.0,5.0,4.0
5.0,12.0,6.0,25.0,10.0,11.0,10.0,20.0,1.0,9.0,1.0,15.0,12.0,34.0,2.0,90.0,2.0,0.0,2.0,1.0,22.0,18.0,8.0,1.0,4.0,5.0,6.0
2.0,17.0,6.0,7.0,5.0,10.0,7.0,19.0,3.0,3.0,4.0,14.0,9.0,31.0,1.0,100.0,3.0,1.0,2.0,1.0,24.0,20.0,7.0,1.0,7.0,1.0,2.0
4.0,16.0,7.0,15.0,8.0,9.0,10.0,15.0,0.0,6.0,12.0,12.0,13.0,33.0,2.0,83.0,8.0,2.0,3.0,2.0,25.0,15.0,10.0,0.0,2.0,1.0,5.0
3.0,18.0,3.0,16.0,7.0,12.0,13.0,19.0,0.0,7.0,6.0,16.0,14.0,20.0,4.0,90.0,7.0,2.0,2.0,1.0,28.0,16.0,11.0,0.0,2.0,1.0,8.0
2.0,15.0,4.0,26.0,6.0,6.0,14.0,21.0,1.0,9.0,8.0,15.0,12.0,22.0,2.0,105.0,6.0,2.0,3.0,4.0,23.0,23.0,12.0,0.0,3.0,1.0,5.0
3.0,17.0,2.0,23.0,5.0,12.0,8.0,18.0,3.0,7.0,7.0,9.0,13.0,21.0,2.0,117.0,7.0,4.0,1.0,0.0,22.0,14.0,5.0,0.0,5.0,4.0,1.0
6.0,12.0,4.0,21.0,7.0,9.0,11.0,17.0,2.0,6.0,13.0,17.0,14.0,27.0,3.0,92.0,4.0,2.0,2.0,3.0,16.0,17.0,4.0,0.0,6.0,4.0,6.0
3.0,22.0,7.0,14.0,7.0,12.0,19.0,8.0,2.0,3.0,8.0,15.0,20.0,23.0,1.0,106.0,7.0,1.0,0.0,2.0,21.0,9.0,9.0,0.0,5.0,6.0,8.0
0.0,10.0,4.0,25.0,2.0,8.0,13.0,29.0,1.0,6.0,5.0,11.0,15.0,29.0,2.0,115.0,3.0,0.0,2.0,1.0,26.0,16.0,8.0,0.0,5.0,2.0,7.0
3.0,18.0,0.0,20.0,7.0,7.0,14.0,25.0,0.0,3.0,8.0,10.0,18.0,23.0,1.0,112.0,4.0,3.0,2.0,2.0,20.0,14.0,12.0,0.0,3.0,2.0,6.0
2.0,15.0,3.0,15.0,5.0,14.0,12.0,11.0,2.0,7.0,2.0,12.0,19.0,22.0,1.0,85.0,5.0,3.0,1.0,1.0,22.0,15.0,8.0,0.0,3.0,2.0,5.0
2.0,13.0,4.0,20.0,7.0,10.0,16.0,16.0,1.0,8.0,10.0,16.0,21.0,18.0,0.0,96.0,8.0,2.0,4.0,2.0,24.0,20.0,9.0,1.0,6.0,5.0,10.0
4.0,14.0,7.0,22.0,4.0,8.0,19.0,11.0,0.0,3.0,5.0,18.0,23.0,24.0,3.0,94.0,8.0,0.0,1.0,1.0,19.0,10.0,8.0,0.0,6.0,2.0,10.0
0.0,12.0,6.0,20.0,4.0,16.0,16.0,19.0,0.0,4.0,3.0,15.0,18.0,23.0,1.0,101.0,4.0,1.0,1.0,2.0,21.0,11.0,9.0,1.0,10.0,6.0,6.0
0.0,8.0,1.0,15.0,5.0,8.0,12.0,18.0,0.0,7.0,12.0,8.0,18.0,18.0,4.0,109.0,5.0,3.0,5.0,2.0,24.0,15.0,7.0,1.0,4.0,3.0,2.0
0.0,14.0,5.0,27.0,5.0,9.0,9.0,13.0,3.0,7.0,8.0,12.0,23.0,32.0,0.0,96.0,4.0,3.0,1.0,1.0,33.0,12.0,11.0,1.0,2.0,7.0,6.0
4.0,25.0,1.0,27.0,3.0,15.0,11.0,19.0,2.0,8.0,10.0,21.0,20.0,24.0,0.0,97.0,7.0,2.0,3.0,0.0,22.0,11.0,8.0,0.0,4.0,6.0,8.0
2.0,18.0,7.0,21.0,5.0,12.0,16.0,21.0,0.0,6.0,8.0,15.0,24.0,17.0,0.0,104.0,8.0,0.0,1.0,1.0,26.0,14.0,14.0,0.0,2.0,6.0,6.0
4.0,14.0,8.0,17.0,7.0,9.0,16.0,15.0,0.0,0.0,6.0,13.0,22.0,31.0,0.0,105.0,6.0,3.0,2.0,1.0,27.0,15.0,7.0,0.0,1.0,3.0,4.0
3.0,18.0,4.0,22.0,2.0,13.0,15.0,13.0,1.0,8.0,14.0,21.0,20.0,26.0,1.0,122.0,9.0,3.0,2.0,3.0,35.0,14.0,6.0,0.0,3.0,3.0,4.0
1.0,15.0,3.0,19.0,8.0,12.0,11.0,23.0,2.0,7.0,8.0,18.0,18.0,15.0,1.0,97.0,11.0,2.0,0.0,0.0,23.0,17.0,9.0,0.0,5.0,0.0,5.0
4.0,16.0,15.0,13.0,7.0,11.0,12.0,14.0,0.0,3.0,9.0,16.0,16.0,23.0,0.0,90.0,3.0,1.0,2.0,0.0,22.0,16.0,8.0,3.0,2.0,4.0,5.0
4.0,14.0,2.0,14.0,7.0,11.0,7.0,13.0,0.0,3.0,10.0,12.0,11.0,27.0,4.0,93.0,3.0,5.0,2.0,1.0,23.0,19.0,15.0,1.0,5.0,1.0,4.0
3.0,18.0,7.0,20.0,5.0,10.0,10.0,21.0,0.0,4.0,8.0,10.0,21.0,21.0,2.0,88.0,5.0,3.0,5.0,3.0,21.0,14.0,7.0,0.0,2.0,0.0,2.0
6.0,12.0,7.0,22.0,7.0,14.0,11.0,16.0,0.0,5.0,7.0,9.0,20.0,19.0,1.0,85.0,4.0,2.0,3.0,2.0,19.0,9.0,13.0,0.0,4.0,1.0,8.0
3.0,16.0,8.0,20.0,5.0,10.0,9.0,15.0,1.0,8.0,7.0,14.0,16.0,18.0,2.0,101.0,3.0,2.0,1.0,1.0,17.0,17.0,7.0,0.0,5.0,2.0,4.0
